,Client_ID,Client_Industry,Employee_Count,Contract_Length,Monthly_Support_Tickets,Client_Satisfaction_Score,Monthly_Revenue
0,79,Manufacturing,863,6,25,7,26464.44551
1,300,Finance,738,12,46,8,24687.02004
2,6,Healthcare,190,36,14,3,23532.46235
3,244,Retail,44,6,8,6,6196.245829
4,287,Manufacturing,378,12,7,4,14959.21615
5,101,Manufacturing,629,24,34,10,27154.77984
6,135,Retail,402,36,25,6,28431.61735
7,103,Manufacturing,112,24,46,3,20154.92995
8,40,Healthcare,794,12,33,8,24649.16845
9,298,Retail,605,36,16,2,29703.77944
10,254,Retail,124,6,43,5,12875.85146
11,170,Manufacturing,78,36,20,7,23518.38923
12,190,Retail,531,36,19,8,31051.86566
13,225,Finance,436,6,42,3,21284.55892
14,183,Finance,621,12,39,5,21770.17444
15,227,Healthcare,277,6,32,10,16402.04304
16,291,Retail,226,12,31,8,17690.99648
17,148,Retail,497,24,46,2,26634.9123
18,211,Retail,997,36,19,5,38604.95588
19,153,Finance,198,,46,6,14303.16109
20,203,Finance,334,6,25,7,14829.85805
21,57,Manufacturing,837,36,3,10,36281.79918
22,32,Manufacturing,863,6,3,10,21510.88327
23,212,Manufacturing,905,6,32,4,21060.20097
24,167,Manufacturing,294,36,36,2,27449.73626
25,138,Healthcare,67,24,16,1,15137.88203
26,17,Manufacturing,265,36,33,1,28474.47524
27,267,Manufacturing,286,6,7,10,9926.847506
28,209,Manufacturing,267,12,3,2,10643.56499
29,94,Retail,792,36,47,9,40477.06188
30,116,Technology,379,24,2,9,19563.34641
31,67,Healthcare,409,12,20,8,15989.73875
32,177,Retail,921,36,29,3,34855.26124
33,81,Technology,674,36,33,5,36744.20583
34,155,Retail,456,12,39,2,20216.04471
35,299,Manufacturing,889,6,32,7,23582.60026
36,237,Finance,21,12,39,1,13464.77756
37,224,Manufacturing,700,36,12,5,31323.68062
38,144,Manufacturing,647,36,2,3,30511.8295
39,122,Manufacturing,129,6,44,1,9271.367716
40,137,Manufacturing,650,6,24,8,18009.35326
41,288,Technology,704,12,38,3,26521.65843
42,97,Technology,622,24,35,10,27419.57853
43,235,Finance,294,24,1,2,23714.05256
44,92,Finance,691,24,29,8,26517.85959
45,218,Manufacturing,699,12,,4,22914.40213
46,150,Manufacturing,894,6,46,3,20909.50318
47,273,Finance,929,24,34,2,29868.57318
48,24,Finance,579,6,32,5,17432.50956
49,286,Technology,789,24,39,5,34738.47421
50,115,Finance,278,6,6,8,12759.52206
51,58,Healthcare,515,6,24,10,17219.03443
52,197,Retail,915,6,29,7,24036.00362
53,139,Healthcare,643,6,12,7,15865.91936
54,95,Finance,63,12,16,5,12232.23718
55,62,Manufacturing,694,12,26,1,16240.77684
56,182,Retail,560,36,30,9,35821.08765
57,123,Technology,840,24,17,1,25221.20746
58,22,Technology,744,36,33,9,38548.27041
59,269,Technology,685,12,40,5,24512.3731
60,272,Finance,466,6,29,8,16296.74219
61,253,Manufacturing,427,6,4,2,15828.96025
62,285,Finance,46,36,17,3,19866.38628
63,174,Manufacturing,967,36,3,1,37165.138
64,222,Finance,938,6,10,9,21819.22191
65,201,Healthcare,617,36,10,7,33070.43108
66,189,Finance,771,6,1,3,19060.77708
67,265,Manufacturing,429,12,21,7,17195.95677
68,219,Finance,684,12,13,5,19290.78993
69,186,Manufacturing,743,36,23,1,34911.535
70,91,Retail,701,24,46,3,28968.20146
71,152,Finance,281,24,33,2,22342.26085
72,239,Technology,311,24,19,8,20412.36266
73,61,Healthcare,45,24,2,9,15655.28485
74,42,Finance,938,12,1,4,24743.03483
75,56,Finance,534,12,39,7,22481.00692
76,180,Finance,441,36,8,8,30989.6178
77,71,Finance,480,6,41,1,14487.76821
78,187,Technology,366,36,30,8,27635.48044
79,104,Healthcare,205,6,21,4,12142.60075
80,246,Retail,858,24,14,4,26944.73445
81,140,Technology,522,36,19,1,30919.91104
82,7,Retail,616,36,36,7,30860.88555
83,284,Manufacturing,745,24,24,1,25971.79851
84,4,Technology,506,24,46,8,24751.64003
85,173,Healthcare,759,36,47,8,39149.24721
86,146,Manufacturing,,36,44,8,31556.21388
87,2,Technology,289,6,16,2,11693.07359
88,18,Technology,332,36,17,4,28545.19022
89,30,Manufacturing,297,6,4,10,13979.4197
90,290,Manufacturing,288,12,13,5,13474.46315
91,16,Healthcare,170,24,49,4,21449.23728
92,213,Retail,169,24,19,10,17718.45761
93,199,Technology,668,36,1,7,32059.33871
94,292,Finance,876,24,37,4,31998.54921
95,236,Healthcare,406,6,12,3,12844.79382
96,27,Retail,695,6,29,4,20758.39704
97,221,Healthcare,554,6,36,6,17556.20232
98,106,Technology,886,12,25,10,27957.21931
99,78,Manufacturing,968,6,11,6,20168.83031
100,248,Finance,785,6,37,10,23721.61961
101,268,Finance,770,6,10,6,17691.40352
102,208,Retail,768,12,25,2,23402.80913
103,277,Technology,108,12,18,10,12415.48857
104,278,Retail,557,6,13,1,15278.18994
105,202,Retail,778,36,7,1,34015.08016
106,112,Retail,945,36,44,1,36873.63242
107,51,Manufacturing,547,12,30,10,19903.83032
108,228,Healthcare,844,12,5,6,20172.74211
109,36,Technology,164,24,16,4,19127.69531
110,25,Finance,332,24,23,7,24809.13736
111,127,Technology,960,36,24,5,39665.99329
112,196,Retail,232,6,48,5,13594.04834
113,220,Finance,389,24,37,5,26526.50447
114,271,Retail,878,12,13,6,29600.0207
115,162,Finance,163,,5,7,17535.66835
116,21,Healthcare,802,24,26,6,26304.26614
117,160,Retail,972,12,40,8,28997.0247
118,233,Manufacturing,52,6,9,7,7553.356195
119,263,Technology,422,6,0,6,13332.68725
120,200,Manufacturing,451,6,14,10,14704.88713
121,191,Healthcare,767,36,27,8,34383.25614
122,70,Manufacturing,892,12,27,10,24470.42617
123,87,Finance,323,36,8,9,28555.75363
124,131,Retail,126,12,38,4,15494.83326
125,250,Retail,931,24,29,7,31375.03336
126,15,Manufacturing,992,12,37,10,25464.09536
127,100,Finance,581,24,48,5,30390.6766
128,280,Retail,105,36,3,5,22653.53314
129,37,Retail,499,6,19,8,16878.27946
130,134,Technology,136,6,21,4,13003.3776
131,247,Manufacturing,99,6,23,10,12762.76547
132,117,Healthcare,645,6,46,7,13713.38234
133,232,Finance,851,24,22,8,29422.99056
134,205,Manufacturing,25,12,43,3,11386.26244
135,256,Retail,912,6,13,4,22142.89016
136,215,Retail,861,12,11,3,21133.33518
